 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,000"
08:00;"0,000"
08:15;"0,000"
08:30;"0,028"
08:45;"0,096"
09:00;"0,324"
09:15;"0,464"
09:30;"0,748"
09:45;"0,920"
10:00;"0,992"
10:15;"1,028"
10:30;"1,020"
10:45;"1,028"
11:00;"1,000"
11:15;"0,980"
11:30;"0,920"
11:45;"0,848"
12:00;"0,756"
12:15;"0,660"
12:30;"0,576"
12:45;"0,468"
13:00;"0,348"
13:15;"0,220"
13:30;"0,132"
13:45;"0,100"
14:00;"0,092"
14:15;"0,088"
14:30;"0,080"
14:45;"0,076"
15:00;"0,064"
15:15;"0,060"
15:30;"0,044"
15:45;"0,036"
16:00;"0,028"
16:15;"0,016"
16:30;"0,000"
16:45;"0,000"
17:00;"0,000"
17:15;"0,000"
17:30;"0,000"
17:45;"0,000"
18:00;"0,000"
18:15;"0,000"
18:30;"0,000"
18:45;"0,000"
19:00;"0,000"
19:15;"0,000"
19:30;"0,000"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
